,,,,,,,
zip,uscis_id,lat,lng,,,,
35004,1,33.59,-86.49,,,,
35005,1,33.59,-86.95,,,,
35006,1,33.42,-87.19,,,,
35007,1,33.22,-86.82,,,,
35010,1,32.92,-85.93,,,,
35011,1,32.92,-85.93,,,,
35013,1,33.9,-86.51,,,,
35014,1,33.33,-86.18,,,,
35015,1,33.61,-86.59,,,,
35016,1,34.32,-86.5,,,,
35019,1,34.26,-86.61,,,,
35020,1,33.37,-86.96,,,,
35021,1,33.37,-86.96,,,,
35022,1,33.37,-86.96,,,,
35023,1,33.43,-86.99,,,,
35031,1,34.08,-86.58,,,,
35032,1,33.26,-86.33,,,,
35033,1,33.95,-87,,,,
35034,1,32.94,-87.17,,,,
35035,1,33.06,-86.98,,,,
35036,1,33.63,-86.91,,,,
35038,1,33.6,-87.14,,,,
35040,1,33.1,-86.75,,,,
35041,1,33.64,-86.92,,,,
35042,1,32.95,-87.13,,,,
35043,1,33.32,-86.63,,,,
35044,1,33.27,-86.35,,,,
35045,1,32.84,-86.62,,,,
35046,1,32.84,-86.62,,,,
35048,1,33.7,-86.58,,,,
35049,1,33.99,-86.57,,,,
35051,1,33.17,-86.6,,,,
35052,1,33.59,-86.36,,,,
35053,1,34.07,-87.05,,,,
35054,1,33.45,-86.34,,,,
35055,1,34.17,-86.83,,,,
35056,1,34.17,-86.83,,,,
35057,1,34.17,-86.83,,,,
35058,1,34.17,-86.83,,,,
35060,1,33.56,-86.89,,,,
35061,1,33.47,-86.94,,,,
35062,1,33.73,-87.08,,,,
35063,1,33.84,-87.01,,,,
35064,1,33.47,-86.91,,,,
35068,1,33.61,-86.8,,,,
35070,1,34.01,-86.75,,,,
35071,1,33.66,-86.8,,,,
35072,1,33.06,-86.05,,,,
35073,1,33.62,-86.96,,,,
35074,1,33.21,-87.14,,,,
35077,1,34.06,-86.76,,,,
35078,1,33.34,-86.43,,,,
35079,1,33.89,-86.75,,,,
35080,1,33.28,-86.85,,,,
35082,1,33.18,-86.09,,,,
35083,1,34.17,-86.61,,,,
35085,1,32.96,-86.74,,,,
35087,1,34.27,-86.54,,,,
35089,1,32.97,-86.09,,,,
35091,1,33.76,-86.8,,,,
35094,1,33.54,-86.56,,,,
35096,1,33.59,-86.13,,,,
35097,1,33.9,-86.62,,,,
35098,1,34.18,-87.04,,,,
35111,1,33.28,-87.12,,,,
35112,1,33.68,-86.47,,,,
35114,1,33.23,-86.93,,,,
35115,1,33.1,-86.85,,,,
35116,1,33.74,-86.8,,,,
35117,1,33.67,-86.89,,,,
35118,1,33.54,-86.97,,,,
35119,1,33.68,-86.77,,,,
35120,1,33.68,-86.39,,,,
35121,1,33.95,-86.47,,,,
35123,1,33.74,-86.65,,,,
35124,1,33.3,-86.79,,,,
35125,1,33.56,-86.27,,,,
35126,1,33.72,-86.65,,,,
35127,1,33.48,-86.97,,,,
35128,1,33.56,-86.27,,,,
35130,1,33.64,-87.14,,,,
35131,1,33.74,-86.13,,,,
35133,1,33.84,-86.62,,,,
35135,1,33.61,-86.2,,,,
35136,1,32.88,-86.21,,,,
35137,1,33.25,-86.79,,,,
35139,1,33.73,-86.99,,,,
35142,1,33.4,-86.89,,,,
35143,1,33.07,-86.56,,,,
35144,1,33.25,-86.79,,,,
35146,1,33.77,-86.47,,,,
35147,1,33.43,-86.5,,,,
35148,1,33.75,-87.04,,,,
35149,1,33.26,-86.17,,,,
35150,1,33.17,-86.26,,,,
35151,1,33.17,-86.26,,,,
35160,1,33.43,-86.09,,,,
35161,1,33.43,-86.09,,,,
35171,1,32.91,-86.71,,,,
35172,1,33.82,-86.74,,,,
35173,1,33.63,-86.59,,,,
35175,1,34.4,-86.44,,,,
35176,1,33.48,-86.5,,,,
35178,1,33.38,-86.4,,,,
35179,1,34.26,-86.94,,,,
35180,1,33.81,-86.8,,,,
35181,1,33.68,-86.77,,,,
35182,1,33.74,-86.43,,,,
35183,1,32.93,-86.41,,,,
35184,1,33.11,-87.12,,,,
35185,1,33.38,-86.6,,,,
35186,1,33.23,-86.47,,,,
35187,1,33.08,-86.88,,,,
35188,1,33.16,-87.17,,,,
35201,1,33.52,-86.79,,,,
35202,1,33.52,-86.79,,,,
35203,1,33.52,-86.79,,,,
35204,1,33.52,-86.79,,,,
35205,1,33.52,-86.79,,,,
35206,1,33.52,-86.79,,,,
35207,1,33.52,-86.79,,,,
35208,1,33.52,-86.79,,,,
35209,1,33.52,-86.79,,,,
35210,1,33.52,-86.79,,,,
35211,1,33.52,-86.79,,,,
35212,1,33.52,-86.79,,,,
35213,1,33.52,-86.79,,,,
35214,1,33.52,-86.79,,,,
35215,1,33.52,-86.79,,,,
35216,1,33.52,-86.79,,,,
35217,1,33.52,-86.79,,,,
35218,1,33.52,-86.79,,,,
35219,1,33.52,-86.79,,,,
35220,1,33.52,-86.79,,,,
35221,1,33.52,-86.79,,,,
35222,1,33.52,-86.79,,,,
35223,1,33.52,-86.79,,,,
35224,1,33.52,-86.79,,,,
35225,1,33.46,-86.81,,,,
35226,1,33.52,-86.79,,,,
35228,1,33.52,-86.79,,,,
35229,1,33.52,-86.79,,,,
35230,1,33.46,-86.81,,,,
35231,1,33.52,-86.79,,,,
35232,1,33.52,-86.79,,,,
35233,1,33.52,-86.79,,,,
35234,1,33.52,-86.79,,,,
35235,1,33.52,-86.79,,,,
35236,1,33.52,-86.79,,,,
35237,1,33.52,-86.79,,,,
35238,1,33.52,-86.79,,,,
35240,1,33.46,-86.81,,,,
35242,1,33.52,-86.79,,,,
35243,1,33.52,-86.79,,,,
35244,1,33.52,-86.79,,,,
35245,1,33.46,-86.81,,,,
35246,1,33.52,-86.79,,,,
35249,1,33.52,-86.79,,,,
35253,1,33.52,-86.79,,,,
35254,1,33.52,-86.79,,,,
35255,1,33.52,-86.79,,,,
35259,1,33.52,-86.79,,,,
35260,1,33.52,-86.79,,,,
35261,1,33.52,-86.79,,,,
35263,1,33.53,-86.78,,,,
35266,1,33.52,-86.79,,,,
35277,1,33.44,-86.73,,,,
35278,1,33.46,-86.81,,,,
35279,1,33.42,-86.78,,,,
35280,1,33.51,-86.8,,,,
35281,1,33.51,-86.8,,,,
35282,1,33.52,-86.79,,,,
35283,1,33.52,-86.79,,,,
35285,1,33.52,-86.79,,,,
35286,1,33.42,-86.78,,,,
35287,1,33.52,-86.79,,,,
35288,1,33.52,-86.79,,,,
35289,1,33.51,-86.8,,,,
35290,1,33.52,-86.79,,,,
35291,1,33.52,-86.79,,,,
35292,1,33.52,-86.79,,,,
35293,1,33.52,-86.79,,,,
35294,1,33.52,-86.79,,,,
35295,1,33.52,-86.79,,,,
35296,1,33.52,-86.79,,,,
35297,1,33.52,-86.79,,,,
35298,1,33.52,-86.79,,,,
35299,1,33.51,-86.8,,,,
35401,1,33.23,-87.54,,,,
35402,1,33.23,-87.54,,,,
35403,1,33.23,-87.54,,,,
35404,1,33.23,-87.54,,,,
35405,1,33.23,-87.54,,,,
35406,1,33.23,-87.54,,,,
35407,1,33.23,-87.54,,,,
